Ngày,Giá mua,Giá bán
2024-01-01,68000,74000
2024-01-02,72000,75000
2024-01-03,72400,75500
2024-01-04,72000,75000
2024-01-05,72000,75000
2024-01-06,72000,75000
2024-01-07,72000,75000
2024-01-08,71000,74000
2024-01-09,71450,74450
2024-01-10,71450,74450
2024-01-11,72750,75250
2024-01-12,73450,75950
2024-01-13,73950,76950
2024-01-14,73950,76950
2024-01-15,73950,76450
2024-01-16,73950,76450
2024-01-17,73650,76150
2024-01-18,73950,76450
2024-01-19,74250,76750
2024-01-20,73650,76650
2024-01-21,73650,76650
2024-01-22,73450,75950
2024-01-23,73950,76450
2024-01-24,74150,76650
2024-01-25,73950,76450
2024-01-26,73900,76750
2024-01-27,73900,76650
2024-01-28,73900,76650
2024-01-29,74150,76750
2024-01-30,74850,77350
2024-01-31,75250,77850
2024-02-01,75850,78250
2024-02-02,76050,78450
2024-02-03,75950,78250
2024-02-04,75950,78250
2024-02-05,76050,78350
2024-02-06,76150,78450
2024-02-07,76550,78850
2024-02-08,76550,78850
2024-02-09,76550,78850
2024-02-10,76550,78850
2024-02-11,76550,78850
2024-02-12,76550,78850
2024-02-13,76550,78850
2024-02-14,76550,78850
2024-02-15,76350,78750
2024-02-16,76150,78350
2024-02-17,76050,78550
2024-02-18,75750,78350
2024-02-19,74900,77900
2024-02-20,75850,78150
2024-02-21,75750,77950
2024-02-22,76450,78650
2024-02-23,76250,78450
2024-02-24,76450,78650
2024-02-25,76450,78650
2024-02-26,76750,78950
2024-02-27,76850,78850
2024-02-28,77250,79250
2024-02-29,77450,79450
2024-03-01,77750,79750
2024-03-02,77650,80250
2024-03-03,77650,80250
2024-03-04,78350,80350
2024-03-05,78750,80750
2024-03-06,78950,80950
2024-03-07,79750,81750
2024-03-08,79850,81850
2024-03-09,79450,81950
2024-03-10,79450,81950
2024-03-11,80150,82150
2024-03-12,80000,82100
2024-03-13,78000,80500
2024-03-14,79500,81500
2024-03-15,79700,81700
2024-03-16,79400,81400
2024-03-17,79400,81400
2024-03-18,79300,81300
2024-03-19,79400,81400
2024-03-20,79300,81300
2024-03-21,78500,80500
2024-03-22,77700,79700
2024-03-23,78100,80100
2024-03-24,78100,80100
2024-03-25,77750,79750
2024-03-26,78100,80100
2024-03-27,78800,80800
2024-03-28,79000,81000
2024-03-29,78800,80800
2024-03-30,78800,80800
2024-03-31,78800,80800
2024-04-01,78300,80800
2024-04-02,78600,81100
2024-04-03,78900,81000
2024-04-04,78700,81000
2024-04-05,78900,81300
2024-04-06,79000,82000
2024-04-07,79000,82000
2024-04-08,79500,82100
2024-04-09,82500,84700
2024-04-10,82300,84300
2024-04-11,81900,83900
2024-04-12,82800,84800
2024-04-13,80600,83100
2024-04-14,80600,83100
2024-04-15,81800,84100
2024-04-16,81700,83800
2024-04-17,82000,84000
2024-04-18,82000,84000
2024-04-19,81650,83650
2024-04-20,81650,83850
2024-04-21,81650,83850
2024-04-22,80700,83000
2024-04-23,81000,83300
2024-04-24,82500,84500
2024-04-25,82000,84300
2024-04-26,83000,85200
2024-04-27,83000,85200
2024-04-28,83000,85200
2024-04-29,83000,85200
2024-04-30,83000,85200
2024-05-01,83000,85200
2024-05-02,82900,85100
2024-05-03,83500,85800
2024-05-04,83500,85900
2024-05-05,83500,85900
2024-05-06,84300,86500
2024-05-07,85300,87500
2024-05-08,85200,87500
2024-05-09,87200,89500
2024-05-10,90100,92400
2024-05-11,88800,91300
2024-05-12,88800,91300
2024-05-13,87500,90000
